"","Fire_ID","avg_cmi","avg_vpd"
"438","KLK13_2012_1856",-5.03,6.53
"439","SLK82_2012_1857",-0.55,6.85666666666667
"440","THU35_2012_1858",3.57,7.75333333333333
"441","THU65_2012_1859",-0.14,7.238
"442","TIM7_2012_1898",-5.05,6.5
"443","RED60_2012_1899",-0.05,6.67333333333333
"444","RED66_2012_1900",-0.39,6.93
"445","RED39_2012_1901",2.17,7.49666666666667
"446","RED52_2012_1902",-0.52,6.96666666666667
"447","TIM47_2012_1903",-4.07,7.9
"448","WAW5_2012_1904",1.09,5.96
"449","RED64_2012_1905",-0.1,6.66333333333333
"450","RED72_2012_1906",-1.03,6.87666666666667
"451","KLK11_2012_1907",-4.4,6.51
"452","RED51_2012_1908",-0.22,7.16333333333333
"453","RED59_2012_1909",-0.38,6.89
"454","SLK97_2012_1910",-0.13,6.99666666666667
"455","COC10_2012_1911",0.56,5.63
"456","NIP62_2012_1912",1.16,6.4775
"457","RED38_2012_1913",0.71,6.8775
"458","SLK71_2012_1914",-0.09,6.93333333333333
"459","SLK81_2012_1915",0.13,6.54666666666667
"460","WAW4_2012_1916",-4.02,6.64
"461","KEN36_2012_1917",-0.76,6.09
"462","RED71_2012_1918",-0.06,7.26666666666667
"463","SLK20_2012_1919",3.61,5.77
"464","HEA9_2012_1920",-1.57,6.39
"465","TIM27_2012_1921",-4.26,7.535
"466","RED58_2012_1922",-0.37,7.02666666666667
"467","RED63_2012_1923",-0.08,6.67333333333333
"468","CHA8_2012_1924",-3.41,6.39
"469","RED34_2012_1925",-0.07,6.55
"470","RED50_2012_1926",-0.22,7.15333333333333
"471","SLK79_2012_1927",0.15,6.07666666666667
"472","SLK93_2012_1928",0.74,7.05666666666667
"473","NIP32_2012_1929",2.23,6.72333333333333
"474","NIP61_2012_1930",0.85,6.90666666666667
"475","SLK105_2012_1931",0.93,7.655
"476","SLK47_2012_1932",3.74,7.62
"477","PEM25_2012_1933",-3.79,8.49
"478","WAW17_2012_1934",-0.23,6
"479","FOR59_2012_1935",1.35,7.4
"480","RED62_2012_1936",-0.07,6.6
"481","RED70_2012_1937",-0.51,6.88
"482","NIP48_2013_1860",0.78,5.95333333333333
"483","SLK25_2013_1861",-0.69,5.36
"484","RED31_2013_1862",-1.35,6.86
"485","SLK45_2013_1863",-1.3,5.96
"486","NIP44_2013_1864",3.34,6.04
"487","RED32_2013_1865",-1.29,6.83333333333333
"488","NIP50_2013_1866",-0.87,5.93
"489","NIP45_2013_1867",1.79,5.49
"490","NIP43_2013_1868",1.63,5.88
"491","SLK27_2013_1869",-3.28,6.48
"492","NIP40_2013_1870",-0.41,6.655
"493","SLK19_2013_1871",0.8,5.75
"494","NIP53_2013_1872",0.96,5.99666666666667
"495","SLK16_2013_1873",-0.64,5.62
"496","NIP51_2013_1874",-0.74,5.89
"497","SLK35_2013_1875",-0.5,6.29
"498","NIP19_2013_1876",0.38,5.87
"499","THU16_2013_1877",3.05,6.275
"500","SLK18_2013_1878",-2.79,6.24
"501","NIP21_2013_1879",-0.15,5.47
"502","RED56_2013_1884",-2.07,6.63333333333333
"503","SLK23_2013_1885",-0.9,5.21
"504","NIP11_2013_1886",2.66,4.28
"505","NIP25_2013_1887",1.31,5.4
"506","RED41_2013_1888",-2.21,6.55
"507","SLK22_2013_1889",-1,5.525
"508","SLK21_2013_1890",-1.17,5.735
"509","SLK31_2013_1891",-1,5.395
"510","RED24_2013_1892",-1.31,6.95
"511","SLK37_2013_1893",-1.49,6.46333333333333
"512","NIP23_2013_1894",1.26,5.34
"513","SLK24_2013_1895",-0.84,5.235
"514","SLK43_2013_1896",-0.76,5.12
"515","SLK41_2013_1897",-1.38,5.92333333333333
"516","SLK13_2014_1881",1.89,5.7825
"517","RED8_2014_1882",1.03,5.705
"518","RED29_2014_2017",1.44,5.85
"519","RED4_2014_2019",2.56,5.04666666666667
"520","RED17_2014_2020",1.52,5.6775
"521","KEN28_2015_1959",2.15,4.21666666666667
"522","RED10_2015_1960",0.48,4.54
"523","COC12_2015_1961",2.85,6.415
"524","RED59_2015_1962",-0.11,6.24
