"","Fire_ID","lat","long","el","FIRE_START","Fire_Year","StartBurnDay","interp_date","month","dmc","ffmc","dc"
"424","RED28_2012_1849",53.06223639,-93.02517481,332.4050769,2012-06-05,2012,2012-06-05,2012-06-05,6,27.9711548041223,87.5298036862905,68.9996887504998
"425","SLK32_2012_1850",52.03710575,-89.02257486,320.0875458,2012-06-08,2012,2012-06-08,2012-06-08,6,33.3150456257735,87.2840065235387,76.2339859887762
"426","SLK74_2012_1851",52.71288162,-91.48886075,370.6134393,2012-07-16,2012,2012-07-20,2012-07-20,7,41.5520286750827,67.1951119724954,173.226911788923
"427","TIM9_2012_1852",48.05361994,-81.71221886,360.9677033,2012-05-20,2012,2012-05-21,2012-05-21,5,36.7559704587106,64.3562154748897,120.133222580277
"428","KEN103_2012_1853",49.52802453,-94.62041748,337.9922451,2012-09-07,2012,2012-09-07,2012-09-07,9,43.2287673457007,77.7969203632212,400.034827217976
"429","RED94_2012_1854",52.88299525,-95.06004405,329.0320259,2012-07-22,2012,2012-07-28,2012-07-28,7,43.6103982028144,88.990072031278,263.907305812388
"430","SLK29_2012_1855",53.19117744,-92.30698698,286.957827,2012-06-07,2012,2012-06-09,2012-06-09,6,37.3736338949813,89.6299899193297,95.5187429091509
"431","KLK13_2012_1856",47.76492897,-80.51457593,318.4170008,2012-05-21,2012,2012-05-27,2012-05-27,5,44.9438013453089,86.7945214230359,157.988863962288
"432","SLK82_2012_1857",52.76750947,-91.66849075,320.9086313,2012-07-19,2012,2012-07-22,2012-07-22,7,45.5240547148603,82.7979773695431,194.118742738895
"433","THU35_2012_1858",50.41760751,-90.16516835,406.0864433,2012-07-09,2012,2012-07-09,2012-07-09,7,38.68312388531,80.2202557743112,147.924616230817
"434","THU65_2012_1859",50.84523142,-89.39498021,339.4374765,2012-09-01,2012,2012-09-13,2012-09-13,9,37.5641330296099,83.5773182460902,290.644367763514
"435","NIP48_2013_1860",52.92895199,-86.74683396,185.3387213,2013-07-04,2013,2013-07-12,2013-07-12,7,27.7993983773002,87.8978989323076,231.981309829833
"436","SLK25_2013_1861",53.39049187,-89.13348386,204.3386752,2013-06-08,2013,2013-06-10,2013-06-10,6,60.0779683853073,85.5993049818844,129.6751778605
"437","RED31_2013_1862",51.49928692,-94.32483783,388,2013-07-02,2013,2013-07-04,2013-07-04,7,29.3249905976912,78.835683797162,164.538050422812
