"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avg_cmi","avg_vpd","avgBio","cc","age"
"79","RED184_2006_1678",2006,2006-09-06,248,2005-10-15,287,115,2006-04-26,193,2006-03-27,88.38192771,34.27146112,21.82500076,85,30,133,-0.16,6.00666666666667,41.8155403137207,37.1669998168945,77.3966598510742
"80","RED193_2006_1682",2006,2006-09-04,246,2005-09-29,271,113,2006-04-24,207,2006-03-27,82.08181891,32.53039014,20.36639851,85,28,133,0.07,5.96166666666667,67.8388900756836,56.9624633789062,84.7873840332031
"81","NIP409_2006_1570",2006,2006-09-14,256,2005-11-04,307,87,2006-03-29,145,2006-12-29,119.872362,48.40233711,48.2179985,362,-275,169,-0.77,5.04857142857143,36.7921905517578,24.0754146575928,59.0901107788086
"82","NIP238_2006_1571",2006,2006-09-15,257,2005-09-27,269,85,2006-03-27,181,2006-12-31,121.6001611,48.32642367,45.69200134,364,-279,172,-0.72,4.95714285714286,105.375617980957,72.4764556884766,98.4604339599609
"83","NIP426_2006_1572",2006,2006-09-08,250,2005-11-09,312,113,2006-04-24,166,2006-12-31,122.9214873,51.84972161,51.13999939,364,-251,137,-1.42,5.55833333333333,99.4544296264648,67.4396896362305,94.3500137329102
"84","RED84_2006_1576",2006,2006-08-25,236,2005-10-15,287,111,2006-04-22,189,2006-03-26,82.49944871,31.93415056,21.28080188,84,27,125,-0.83,6.356,29.4999694824219,37.4499282836914,57.4309005737305
"85","RED175_2006_1577",2006,2006-09-06,248,2005-10-25,297,113,2006-04-24,181,2006-03-26,77.95327311,29.85322207,20.81999969,84,29,135,-0.6,6.095,28.2900505065918,35.2824172973633,59.2852363586426
"86","RED177_2006_1579",2006,2006-09-03,245,2005-09-03,245,114,2006-04-25,234,2006-03-26,101.0154962,39.80748618,25.25,84,30,131,-0.25,6.09333333333333,40.368236541748,34.266773223877,83.6798934936523
"87","NIP189_2006_1580",2006,2006-09-02,244,2005-10-21,293,113,2006-04-24,185,2006-12-31,78.14270521,25.00157117,23.27500153,364,-251,131,0.02,5.84666666666667,66.6005477905273,50.874942779541,102.65315246582
"88","NIP440_2006_1601",2006,2006-09-15,257,2005-11-09,312,110,2006-04-21,163,2006-12-31,127.351216,51.6090014,58.65800095,364,-254,147,-1.45,5.73666666666667,77.6849899291992,55.5445671081543,89.4817733764648
"89","NIP410_2006_1602",2006,2006-09-15,257,2005-11-12,315,107,2006-04-18,157,2006-12-31,127.7683886,52.31134196,59.20800018,364,-257,150,-1.5,5.74166666666667,83.5263137817383,56.3335571289062,93.683837890625
"90","NIP291_2006_1611",2006,2006-09-08,250,2005-10-24,296,80,2006-03-22,149,2006-12-31,110.7794726,42.50411271,37.75999832,364,-284,170,-0.87,5.14571428571429,98.9261856079102,61.5658111572266,99.662353515625
"91","NIP404_2006_1612",2006,2006-09-14,256,2005-09-06,248,106,2006-04-17,223,2006-12-31,110.9117119,43.26271743,31.65999985,364,-258,150,-1.52,5.34833333333333,113.797157287598,75.6376800537109,100.582550048828
