"","long","lat","V3","DATE"
"272",-87.37349503,50.7480214,7.29071379613361,"2006-07-15"
"262",-90.28718574,53.13975897,3.16697988663318,"2006-08-03"
"273",-81.2190543,50.51290106,7.0073579214093,"2006-08-03"
"267",-94.37470206,52.74650933,0.50764502524876,"2006-07-07"
"268",-94.93553049,52.74252786,4.59156284009272,"2006-09-05"
"278",-93.65039168,49.74369739,5.97147506935026,"2006-07-21"
"279",-90.87387754,54.47532357,6.30137783250958,"2011-06-19"
"280",-90.82248042,54.47862245,5.7762709418206,"2011-06-18"
"381",-91.38601237,53.11664233,7.07624077668105,"2011-06-18"
"281",-90.2090434,54.23655555,1.74115743222386,"2011-07-01"
"282",-88.5793666,53.69603831,3.75610531336946,"2011-07-01"
"389",-93.99710704,52.66279889,5.05223091299267,"2011-07-01"
"283",-90.54905364,53.37786197,5.46853346061654,"2011-07-17"
"284",-88.73921049,53.1953052,4.54294732726613,"2011-07-17"
"329",-92.67760943,51.76678128,9.18849950503241,"2011-07-17"
"366",-93.83259554,53.37813064,7.27091775725806,"2011-07-17"
"367",-93.05976572,53.28363481,6.99729595206772,"2011-07-17"
"383",-92.93296769,52.89748584,7.52076464461534,"2011-07-17"
"286",-92.2257821,52.63760425,8.19752654426448,"2011-09-11"
"289",-79.53156805,50.53099017,8.98209587330688,"2009-06-24"
"301",-91.20903784,52.42446477,17.3002153570592,"2009-06-24"
"290",-92.37674492,54.40349136,2.81209905623887,"2009-06-22"
"291",-91.73675452,54.08973362,7.45889553457994,"2009-06-17"
"293",-89.50764659,53.7089738,6.31205975504898,"2009-06-17"
"305",-89.56106103,50.27986772,8.34622304769667,"2009-06-17"
"292",-90.13565665,53.98115412,4.31668124128569,"2009-06-16"
"294",-88.87354263,53.69121775,4.1563955702991,"2009-06-16"
"295",-88.26887667,53.62388037,4.16623010310213,"2009-06-16"
"296",-88.13744445,53.51622677,4.27948157649298,"2009-06-16"
"297",-87.84638849,53.4664115,4.37839159413591,"2009-06-16"
"304",-86.91263592,51.5847041,6.83280761913743,"2009-06-16"
"298",-92.30658267,52.9382625,2.87809812396402,"2009-06-25"
"313",-91.18928436,51.92038327,3.27257806586966,"2009-06-25"
"299",-87.55856745,52.72110774,3.98336036019984,"2009-06-19"
"300",-87.52191603,52.69207754,4.01774317753997,"2009-06-19"
"303",-87.74737476,51.92255505,4.91414835593046,"2009-06-19"
"302",-92.51766603,52.2919497,1.04822370042934,"2009-06-20"
"306",-79.98817653,50.1344225,2.33213874091515,"2009-06-26"
"312",-91.79003774,52.09347751,2.94046917325781,"2009-06-26"
"309",-94.98317846,52.0816573,5.70673038322007,"2011-07-06"
"372",-94.04735318,52.3040256,3.96153915280079,"2011-07-06"
"384",-94.75336452,52.9172704,4.17373495442247,"2011-07-06"
"397",-92.84791459,52.10194224,4.55134525162472,"2011-07-06"
"310",-95.0484657,52.10638793,7.84534597849416,"2011-07-05"
"330",-89.73335869,51.65326347,1.98301385658877,"2011-07-05"
"378",-94.83841514,52.22174827,7.47310243934975,"2011-07-05"
"311",-92.46141599,51.72888726,4.48999332779788,"2009-06-18"
"314",-91.95225347,54.20752807,2.02284222189882,"2010-07-18"
"318",-91.92224724,54.68286555,2.21418264240846,"2010-07-18"
"315",-89.90507301,52.53289021,4.10627286945334,"2010-06-25"
"316",-88.53763085,52.46180172,4.10093496370983,"2010-06-25"
"317",-91.90036753,54.85644258,4.86152741096983,"2010-07-24"
"319",-86.1871863,52.38482978,6.68600329226693,"2010-05-16"
"320",-88.91358977,52.09434757,0.663932236315375,"2011-07-21"
"321",-89.35890997,51.94339995,1.04144971096268,"2011-07-21"
"327",-92.69014036,51.77231331,2.38611689443538,"2011-07-21"
"328",-92.62050091,51.76141802,2.37818519892384,"2011-07-21"
"386",-93.27078448,52.80936469,1.16738849068594,"2011-07-21"
"394",-88.66075974,52.18568004,0.468117993399163,"2011-07-21"
"322",-90.8045714,51.94195002,6.23921295594243,"2011-07-18"
"360",-94.92956212,51.93487099,6.59975691463913,"2011-07-18"
"362",-92.93286571,53.70975948,4.51625868903272,"2011-07-18"
"363",-93.63827915,53.53594243,4.50021381431545,"2011-07-18"
"364",-89.77860976,53.47998125,4.46372325148291,"2011-07-18"
"369",-92.00165828,53.73264006,4.68116964019075,"2011-07-18"
"387",-93.64495199,52.75427376,5.34244000243579,"2011-07-18"
"399",-94.96780991,51.93114951,6.59223587026934,"2011-07-18"
"400",-92.04056817,51.72684508,7.81486721347689,"2011-07-18"
"323",-92.82138076,51.9209723,0.975423854094671,"2011-07-07"
"326",-91.56200614,51.86972475,1.82210344643157,"2011-07-07"
"375",-92.54184735,52.27436204,0.479145695474896,"2011-07-07"
"382",-93.60440775,53.02194099,0.708866056487039,"2011-07-07"
"392",-93.59273987,52.64236744,0.649904889094717,"2011-07-07"
"402",-92.36688529,51.52196958,3.49554201217158,"2011-07-07"
"403",-92.09107503,51.48094455,3.88964720800543,"2011-07-07"
"324",-91.67015849,51.90808282,5.01138163048679,"2011-06-30"
"325",-92.04429951,51.90729942,5.36817618877752,"2011-08-07"
"332",-88.66574033,49.83058451,5.0341445447831,"2011-08-07"
"331",-89.22964461,50.71589993,5.38139659965757,"2011-08-01"
"411",-89.24839921,50.56413375,5.66607068018305,"2011-08-01"
"417",-86.60602679,49.42165134,6.76831118511254,"2011-08-01"
"534",-94.60695857,51.23263712,8.65326622411373,"2011-08-01"
"333",-94.5834253,49.32621926,5.5420494988005,"2011-08-11"
"334",-86.12136939,49.20611804,4.33391906952037,"2011-06-07"
"412",-88.78942583,50.4698364,1.65331508239504,"2011-06-07"
"335",-81.61346752,47.47132053,0.311713590462655,"2011-09-25"
"336",-93.81086919,52.02062852,4.26419830477751,"2010-05-27"
"337",-88.70449548,51.93194549,4.21030823700422,"2010-06-20"
"338",-93.34236108,51.88543508,0.776216923965212,"2010-08-24"
"339",-92.2727918,51.04108983,6.47305050593328,"2010-05-20"
"340",-93.62138637,50.83921509,14.6069799377292,"2010-05-18"
